,Region,GDP_2011,GDP_2015,GDP_2019,GP_2011,GP_2015,GP_2019,demVotes_2012,gopVotes_2012,otherVotes_2012,totalVotes_2012,demVotes_2016,gopVotes_2016,otherVotes_2016,totalVotes_2016,demVotes_2020,gopVotes_2020,otherVotes_2020,totalVotes_2020
0,Alabama,150330.0,206341.0,234054.0,75,87.1,90.6,795696.0,1255925.0,22717.0,2074338.0,729547.0,1318255.0,75570.0,2123372.0,849648.0,1441168.0,32488.0,2323304.0
1,Alaska,44702.0,51560.0,55759.0,70,76.1,79.1,122640.0,164676.0,13179.0,300495.0,116454.0,163387.0,38767.0,318608.0,153778.0,189951.0,15801.0,359530.0
2,Arizona,227098.0,294170.0,372522.0,76,79.5,77.3,1025232.0,1233654.0,40368.0,2299254.0,1161209.0,1252401.0,159555.0,2573165.0,1672143.0,1661686.0,53497.0,3387326.0
3,Arkansas,91496.0,124792.0,135225.0,84,87.0,88.8,394409.0,647744.0,27315.0,1069468.0,380494.0,684872.0,65269.0,1130635.0,423932.0,760647.0,34490.0,1219069.0
4,California,1735360.0,2496710.0,3183251.0,79,83.0,84.3,7854285.0,4839958.0,344304.0,13038547.0,8753788.0,4483810.0,943997.0,14181595.0,11109764.0,6005961.0,380181.0,17495906.0
5,Colorado,234308.0,318097.0,396367.0,75,78.9,81.9,1323101.0,1185243.0,61172.0,2569516.0,1338870.0,1202484.0,238866.0,2780220.0,1804352.0,1364607.0,87994.0,3256953.0
6,Connecticut,201386.0,260643.0,288985.0,85,87.4,88.3,905083.0,634892.0,18229.0,1558204.0,897572.0,673215.0,74133.0,1644920.0,1080680.0,715291.0,28353.0,1824324.0
7,Delaware,57293.0,68576.0,76410.0,80,85.5,89,242584.0,165484.0,5822.0,413890.0,235603.0,185127.0,20860.0,441590.0,296268.0,200603.0,7139.0,504010.0
8,District of Columbia,91643.0,124216.0,148231.0,59,69.2,73,267070.0,21381.0,5313.0,293764.0,282830.0,12723.0,17022.0,312575.0,317323.0,18586.0,8447.0,344356.0
9,Far West,2446554.0,3441926.0,4383859.0,,,,,,,,,,,,,,,
10,Florida,661091.0,902201.0,1111378.0,75,80.7,90.2,4237756.0,4163447.0,72976.0,8474179.0,4504975.0,4617886.0,297178.0,9420039.0,5297045.0,5668731.0,101680.0,11067456.0
11,Georgia,365809.0,505199.0,625329.0,70,79.4,83.8,1773827.0,2078688.0,45324.0,3897839.0,1877963.0,2089104.0,147665.0,4114732.0,2473707.0,2461779.0,62238.0,4997724.0
12,Great Lakes,1801307.0,2527342.0,2897900.0,,,,,,,,,,,,,,,
13,Hawaii,57977.0,80761.0,98536.0,81,82.7,86.3,306658.0,121015.0,9486.0,437159.0,266891.0,128847.0,41926.0,437664.0,366130.0,196864.0,11475.0,574469.0
14,Idaho,51463.0,66081.0,82265.0,---,79.7,82.2,212787.0,420911.0,18576.0,652274.0,189765.0,409055.0,91435.0,690255.0,287021.0,554118.0,26966.0,868105.0
15,Illinois,582094.0,784413.0,908913.0,82,85.5,‡,3019512.0,2135216.0,87286.0,5242014.0,3090729.0,2146015.0,299680.0,5536424.0,3471680.0,2446733.0,120059.0,6038472.0
16,Indiana,240933.0,341201.0,381733.0,86,86.8,90.9,1152887.0,1420543.0,51104.0,2624534.0,1033126.0,1557286.0,144546.0,2734958.0,1242495.0,1729852.0,60851.0,3033198.0
17,Iowa,128597.0,174803.0,197172.0,89,91.3,91.8,822544.0,730617.0,29019.0,1582180.0,653669.0,800983.0,110928.0,1565580.0,759061.0,897672.0,34138.0,1690871.0
18,Kansas,113367.0,147832.0,175703.0,85,85.7,88.2,440726.0,692634.0,26611.0,1159971.0,427005.0,671018.0,86379.0,1184402.0,570323.0,771406.0,33575.0,1375304.0
19,Kentucky,141266.0,197626.0,217564.0,---,88.6,91.1,679370.0,1087190.0,30652.0,1797212.0,628854.0,1202971.0,92324.0,1924149.0,772474.0,1326646.0,37648.0,2136768.0
20,Louisiana,205877.0,242211.0,267051.0,72,78.6,82.9,809141.0,1152262.0,32662.0,1994065.0,780154.0,1178638.0,70240.0,2029032.0,856034.0,1255776.0,36252.0,2148062.0
21,Maine,44821.0,57621.0,68441.0,85,87.0,87.4,401306.0,292276.0,31176.0,724758.0,357735.0,335593.0,78564.0,771892.0,435072.0,360737.0,24696.0,820505.0
22,Maryland,264373.0,368401.0,434312.0,84,87.6,86.8,1677844.0,971869.0,57614.0,2707327.0,1678006.0,943428.0,160012.0,2781446.0,1985023.0,976414.0,57627.0,3019064.0
23,Massachusetts,348577.0,481630.0,604208.0,85,87.5,89,1921290.0,1188314.0,74592.0,3184196.0,1995196.0,1090893.0,292732.0,3378821.0,2382202.0,1167202.0,81998.0,3631402.0
24,Michigan,337427.0,474698.0,548567.0,76,79.7,82.1,2564569.0,2115256.0,51136.0,4730961.0,2268839.0,2279543.0,250902.0,4799284.0,2804040.0,2649852.0,85410.0,5539302.0
25,Mideast,2356915.0,3300841.0,3887642.0,,,,,,,,,,,,,,,
26,Minnesota,244912.0,336207.0,385907.0,78,82.2,83.8,1546167.0,1320225.0,70169.0,2936561.0,1367705.0,1322949.0,254128.0,2944782.0,1717077.0,1484065.0,76029.0,3277171.0
27,Mississippi,84272.0,108433.0,120429.0,75,82.3,87.7,562949.0,710746.0,11889.0,1285584.0,485131.0,700714.0,23512.0,1209357.0,539398.0,756764.0,19016.0,1315178.0
28,Missouri,216099.0,297263.0,336816.0,84,89.0,89.5,1223796.0,1482440.0,51087.0,2757323.0,1071068.0,1594511.0,143026.0,2808605.0,1253561.0,1717912.0,58113.0,3029586.0
29,Montana,31983.0,46108.0,52948.0,84,85.6,85.9,201839.0,267928.0,14281.0,484048.0,177709.0,279240.0,37577.0,494526.0,244786.0,343602.0,17362.0,605750.0
30,Nebraska,79889.0,114937.0,129098.0,88,89.3,87.5,302081.0,475064.0,17234.0,794379.0,284494.0,495961.0,63772.0,844227.0,374583.0,556846.0,20842.0,952271.0
31,Nevada,112503.0,143609.0,180406.0,63,73.6,82.6,531373.0,463567.0,19978.0,1014918.0,539260.0,512058.0,74067.0,1125385.0,703486.0,669890.0,32000.0,1405376.0
